"filename", "language", "Svelte", "TypeScript", "comment", "blank", "total"
"c:\Users\Akshat\Documents\svelte_stuff\svelte-todo\src\App.svelte", "Svelte", 23, 0, 0, 2, 25
"c:\Users\Akshat\Documents\svelte_stuff\svelte-todo\src\api\helpers.ts", "TypeScript", 0, 43, 1, 8, 52
"c:\Users\Akshat\Documents\svelte_stuff\svelte-todo\src\api\maindatastore_template.ts", "TypeScript", 0, 10, 0, 4, 14
"c:\Users\Akshat\Documents\svelte_stuff\svelte-todo\src\components\add_task_tile.svelte", "Svelte", 136, 0, 0, 8, 144
"c:\Users\Akshat\Documents\svelte_stuff\svelte-todo\src\components\create_list_modal.svelte", "Svelte", 124, 0, 1, 7, 132
"c:\Users\Akshat\Documents\svelte_stuff\svelte-todo\src\components\default_view.svelte", "Svelte", 191, 0, 0, 8, 199
"c:\Users\Akshat\Documents\svelte_stuff\svelte-todo\src\components\drawer-item.svelte", "Svelte", 43, 0, 0, 4, 47
"c:\Users\Akshat\Documents\svelte_stuff\svelte-todo\src\components\drawer.svelte", "Svelte", 67, 0, 0, 7, 74
"c:\Users\Akshat\Documents\svelte_stuff\svelte-todo\src\components\header.svelte", "Svelte", 82, 0, 0, 8, 90
"c:\Users\Akshat\Documents\svelte_stuff\svelte-todo\src\components\icon_row.svelte", "Svelte", 12, 0, 0, 1, 13
"c:\Users\Akshat\Documents\svelte_stuff\svelte-todo\src\components\list-body.svelte", "Svelte", 144, 0, 0, 4, 148
"c:\Users\Akshat\Documents\svelte_stuff\svelte-todo\src\components\list-dropdown.svelte", "Svelte", 111, 0, 0, 9, 120
"c:\Users\Akshat\Documents\svelte_stuff\svelte-todo\src\components\list-item-tile.svelte", "Svelte", 92, 0, 0, 6, 98
"c:\Users\Akshat\Documents\svelte_stuff\svelte-todo\src\global.d.ts", "TypeScript", 0, 0, 1, 0, 1
"c:\Users\Akshat\Documents\svelte_stuff\svelte-todo\src\interfaces\global.ts", "TypeScript", 0, 22, 0, 4, 26
"c:\Users\Akshat\Documents\svelte_stuff\svelte-todo\src\main.ts", "TypeScript", 0, 8, 0, 2, 10
"c:\Users\Akshat\Documents\svelte_stuff\svelte-todo\src\stores\stores.ts", "TypeScript", 0, 8, 0, 5, 13
"Total", "-", 1025, 91, 3, 87, 1206
